Date,Open,High,Low,Close,Volume,Adj Close
2015-03-17,67.510002,69.00,67.510002,68.800003,1473800,67.417915
2015-03-16,67.510002,67.989998,67.160004,67.57,1027700,66.21262
2015-03-13,67.25,67.860001,66.239998,66.660004,932400,65.320905
2015-03-12,65.059998,67.279999,65.019997,67.110001,1339600,65.761862
2015-03-11,64.010002,65.32,63.599998,65.080002,1109300,63.772643
2015-03-10,63.98,64.559998,63.400002,64.169998,1226000,62.88092
2015-03-09,63.720001,64.489998,63.57,63.98,1004200,62.694738
2015-03-06,64.330002,64.639999,63.57,63.73,948700,62.44976
2015-03-05,65.75,65.970001,64.510002,64.639999,1118400,63.341479
2015-03-04,65.68,66.010002,64.849998,65.769997,1313800,64.448776
2015-03-03,65.00,66.199997,64.809998,66.160004,1629000,64.830949
2015-03-02,64.400002,65.529999,64.32,65.440002,1850400,64.125411
2015-02-27,64.480003,64.599998,63.59,63.650002,1944400,62.371369
2015-02-26,64.120003,64.199997,63.009998,63.98,1225400,62.694738
2015-02-25,64.239998,64.68,63.34,63.439999,1216400,62.165585
2015-02-24,63.540001,64.519997,62.400002,64.43,1301500,63.135699
2015-02-23,65.010002,65.040001,63.529999,64.139999,1247900,62.851523
2015-02-20,62.759998,64.150002,62.400002,64.139999,1049600,62.851523
2015-02-19,65.18,65.18,62.77,62.939999,2091000,61.479646
2015-02-18,63.119999,63.880001,62.060001,63.830002,1565000,62.348999
2015-02-17,62.610001,63.349998,62.110001,62.23,1200800,60.78612
2015-02-13,62.16,62.599998,61.349998,62.560001,1697700,61.108465
2015-02-12,63.57,63.59,61.720001,62.75,2822200,61.294056
2015-02-11,65.900002,66.43,64.389999,64.510002,1560900,63.013222
2015-02-10,64.190002,65.489998,63.68,65.370003,1965200,63.853268
2015-02-09,65.150002,65.150002,62.529999,63.509998,2120500,62.03642
2015-02-06,66.57,66.940002,65.669998,65.919998,1569300,64.390503
2015-02-05,66.800003,66.940002,65.019997,66.82,1354300,65.269622
2015-02-04,65.959999,67.199997,65.839996,66.699997,1823000,65.152404
2015-02-03,66.00,66.389999,64.089996,65.18,2928500,63.667674
2015-02-02,67.699997,68.00,65.43,67.32,2284100,65.758021
2015-01-30,70.370003,70.870003,67.260002,67.870003,2236800,66.295263
2015-01-29,68.800003,71.400002,68.419998,71.07,1966000,69.421012
2015-01-28,70.50,70.550003,68.419998,68.699997,1220500,67.105999
2015-01-27,69.370003,70.779999,68.940002,69.699997,1536800,68.082797
2015-01-26,68.769997,70.510002,68.650002,70.440002,2393900,68.805632
2015-01-23,68.099998,69.900002,67.699997,68.650002,1883200,67.057164
2015-01-22,66.900002,68.00,64.550003,67.940002,2833200,66.363638
2015-01-21,64.400002,65.199997,63.77,64.980003,2314800,63.472318
2015-01-20,63.400002,64.809998,63.110001,64.599998,1521200,63.10113
2015-01-16,61.09,62.419998,60.560001,62.349998,1618600,60.903335
2015-01-15,61.540001,62.099998,60.599998,61.470001,1619300,60.043756
2015-01-14,60.630001,62.00,60.189999,61.540001,1557200,60.112131
2015-01-13,61.529999,62.990002,60.580002,61.41,1687200,59.985147
2015-01-12,60.669998,61.130001,59.73,60.610001,1100000,59.203709
2015-01-09,60.650002,60.790001,59.709999,59.73,986900,58.344126
2015-01-08,60.00,61.459999,59.689999,60.700001,1697500,59.291621
2015-01-07,59.060001,60.00,58.810001,59.669998,1039600,58.285517
2015-01-06,59.779999,60.290001,57.709999,58.77,1511700,57.406401
2015-01-05,60.810001,60.869999,59.189999,59.470001,1288800,58.09016
2015-01-02,60.540001,60.860001,59.470001,60.330002,1199600,58.930207
2014-12-31,60.259998,60.939999,59.759998,59.759998,902400,58.373429
2014-12-30,59.740002,60.509998,59.470001,59.77,833700,58.383199
2014-12-29,58.830002,59.950001,58.560001,59.73,839600,58.344126
2014-12-26,58.75,59.48,58.560001,59.02,706300,57.650601
2014-12-24,57.240002,58.84,57.240002,58.720001,629800,57.357562
2014-12-23,57.23,57.349998,56.419998,56.75,764600,55.433269
2014-12-22,56.560001,57.75,56.560001,56.73,767200,55.413733
2014-12-19,56.189999,56.630001,55.529999,56.16,1831800,54.856959
